direction,level,design,k,draw,n_days,n_rpf,energy_iou,energy_precision,day_precision,sure_day_recall,fp,fn,rate_uncertain,single_class_stations
beta->alpha,station,random,9,10,10335,3354,0.8758311904193159,0.909000376701987,0.9878138847858198,0.7975551580202743,33,679,0.04073536526366715,6.0
beta->alpha,station,random,9,11,10335,3353,0.8723037254996806,0.8935187708806953,0.9852840520191649,0.8586340590515956,43,474,0.0393807450411224,3.0
beta->alpha,station,random,9,12,10335,3354,0.8719111043308162,0.8951211034119063,0.9828178694158075,0.8527131782945736,50,494,0.1331398161586841,4.0
beta->alpha,station,random,9,13,10335,3357,0.8712992997895229,0.9068454185180072,0.9919416730621642,0.7700327673518021,21,772,0.043444605708756655,4.0
beta->alpha,station,random,9,14,10335,3352,0.8736749800526282,0.8953747821298892,0.9856361149110807,0.8597852028639618,42,470,0.02602805999032414,4.0
beta->alpha,station,random,9,15,10335,3348,0.8717030348953381,0.9014980511793792,0.9886363636363636,0.8055555555555556,31,651,0.03231736816642477,5.0
beta->alpha,station,random,9,16,10335,3349,0.8730024915815433,0.8941399034773827,0.9796327212020033,0.8760824126604957,61,415,0.11069182389937107,4.0
beta->alpha,station,random,9,17,10335,3354,0.8745150085163704,0.8979209823534147,0.9874651810584958,0.8455575432319619,36,518,0.035703918722786644,4.0
beta->alpha,station,random,9,18,10335,3348,0.8692426313957765,0.8990048092865591,0.980246913580247,0.8300477897252091,56,569,0.11785195936139332,6.0
beta->alpha,station,random,9,19,10335,3351,0.8754686544202133,0.8976513495797853,0.9895251396648045,0.8457176962100865,30,517,0.026124818577648767,4.0
beta->alpha,station,random,18,0,10245,3326,0.8723246881449832,0.8931148827575445,0.9805434417980543,0.8788334335538184,58,403,0.037872132747681794,4.0
beta->alpha,station,random,18,1,10245,3322,0.8713594352694896,0.8925284447119898,0.9816237888406282,0.884406983744732,55,384,0.03709126403123475,4.0
beta->alpha,station,random,18,2,10245,3324,0.8713021070911574,0.8909533996610596,0.9789473684210527,0.8953068592057761,64,348,0.07349926793557833,4.0
beta->alpha,station,random,18,3,10245,3320,0.8680722266128712,0.8882352466839374,0.9797879390324719,0.8906626506024097,61,363,0.04587603709126403,4.0
beta->alpha,station,random,18,4,10245,3320,0.8716349846451918,0.891849296188371,0.9803856382978723,0.8882530120481927,59,371,0.04333821376281113,4.0
beta->alpha,station,random,18,5,10245,3316,0.8696235674458372,0.8894937654728028,0.9780399868895444,0.8998793727382388,67,332,0.15324548560273304,3.0
beta->alpha,station,random,18,6,10245,3318,0.8709896108650784,0.8923544543268084,0.9780108254397835,0.8713080168776371,65,427,0.10990727183992191,4.0
beta->alpha,station,random,18,7,10245,3325,0.8686671436890072,0.8881856751910499,0.9789957335083689,0.8971428571428571,64,342,0.04978038067349927,4.0
beta->alpha,station,random,18,8,10245,3327,0.8744934903526714,0.8959391480305556,0.9861543786777431,0.8563270213405471,40,478,0.028111273792093706,4.0
beta->alpha,station,random,18,9,10245,3315,0.8703492914811678,0.8915386477772359,0.9800473452823808,0.8742081447963801,59,417,0.04685212298682284,3.0
beta->alpha,station,random,18,10,10245,3326,0.8711711305814275,0.8919495865841863,0.9814015277316506,0.8884546001202646,56,371,0.04411908247925817,4.0
beta->alpha,station,random,18,11,10245,3326,0.8721646972327142,0.8929387019418275,0.9814752441899629,0.8761274804570054,55,412,0.030453879941434846,4.0
beta->alpha,station,random,18,12,10245,3329,0.8753527754859153,0.8993756764124526,0.9889561809761311,0.8338840492640432,31,553,0.02879453391898487,4.0
beta->alpha,station,random,18,13,10245,3322,0.8732253011609388,0.8952560302256862,0.9864958448753463,0.8576158940397351,39,473,0.034553440702781844,4.0
beta->alpha,station,random,18,14,10245,3329,0.873499294223276,0.8966529513356297,0.9900990099009901,0.8410934214478822,28,529,0.030258662762323085,3.0
beta->alpha,station,random,18,15,10245,3316,0.8711639815600543,0.890506802080948,0.9792831305491615,0.8980699638118215,63,338,0.046949731576378724,3.0
beta->alpha,station,random,18,16,10245,3323,0.8755676241433454,0.9065509099740421,0.9843416370106761,0.8323803791754438,44,557,0.04509516837481698,5.0
