candidate,cohort,station,n_days,n_rpf,energy_iou,energy_precision,sure_day_recall,fp,fn,rate_uncertain
C4,beta,beta_G,283,85,0.7836073998935313,0.791013628624508,0.9764705882352941,33,2,0.0035335689045936395
C4,beta,beta_H,335,4,0.3046776487175533,0.3490899804488409,0.75,5,1,0.005970149253731343
D1,alpha,alpha_A,1039,0,0.0,,,0,0,0.07699711260827719
D1,alpha,alpha_B,1055,27,0.41316662654614494,0.4230343273868925,0.7037037037037037,3,8,0.018957345971563982
D1,alpha,alpha_C,1055,627,0.8629088023135433,0.9044166477719373,0.7097288676236044,3,182,0.09289099526066351
D1,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
D1,alpha,alpha_E,1035,700,0.9044637886770325,0.9345918320164633,0.76,2,168,0.10144927536231885
D1,alpha,alpha_F,1033,842,0.8909976073006959,0.9224197662673821,0.7684085510688836,1,195,0.10164569215876089
D1,alpha,alpha_G,1037,650,0.8775635745941873,0.9107635528975254,0.8415384615384616,5,103,0.06171648987463838
D1,alpha,alpha_H,1039,0,0.0,,,0,0,0.0038498556304138597
D1,alpha,alpha_I,1042,148,0.7705166731442465,0.7836854120880098,0.8783783783783784,4,18,0.026871401151631478
D1,alpha,alpha_J,1055,387,0.8172957441135824,0.8494192345454529,0.7958656330749354,5,79,0.031279620853080566
D1,beta,beta_A,337,26,0.9236395626814062,0.9328683314907129,1.0,39,0,0.09198813056379822
D1,beta,beta_B,231,125,0.9237433413822868,0.9407887858260613,0.968,3,4,0.021645021645021644
D1,beta,beta_C,339,0,0.0,,,0,0,0.008849557522123894
D1,beta,beta_D,188,45,0.9015861980944988,0.9662549108355374,0.7555555555555555,1,11,0.23404255319148937
D1,beta,beta_E,306,21,0.6921564021708199,0.6993693469215071,1.0,26,0,0.0196078431372549
D1,beta,beta_F,286,164,0.9245171410265444,0.9377083054723491,0.9878048780487805,19,2,0.07692307692307693
D1,beta,beta_G,283,85,0.7916592266092544,0.7992191744342986,0.9764705882352941,31,2,0.01060070671378092
D1,beta,beta_H,335,4,0.3178143832155687,0.3664447632538758,0.75,4,1,0.008955223880597015
N,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
N,alpha,alpha_B,1055,27,0.5360440499114615,0.5539810664058573,0.6296296296296297,0,10,0.014218009478672985
N,alpha,alpha_C,1055,627,0.8635835222484382,0.8925146334726906,0.8548644338118022,12,91,0.07298578199052133
N,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
N,alpha,alpha_E,1035,700,0.9064787681082573,0.9279113911086829,0.8857142857142857,6,80,0.057971014492753624
N,alpha,alpha_F,1033,842,0.8958609242406395,0.9141368947282461,0.8978622327790974,6,86,0.07841239109390126
N,alpha,alpha_G,1037,650,0.8756927808850399,0.9073346901407923,0.8953846153846153,16,68,0.06171648987463838
N,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
N,alpha,alpha_I,1042,148,0.7921943773935799,0.8086081130929026,0.8243243243243243,4,26,0.026871401151631478
N,alpha,alpha_J,1055,387,0.8246475459238214,0.8572028804527572,0.813953488372093,8,72,0.05781990521327014
N,beta,beta_A,337,26,0.9127722551488895,0.9217840754095572,1.0,50,0,0.0712166172106825
N,beta,beta_B,231,125,0.9257784992653723,0.9407836449855091,0.976,4,3,0.012987012987012988
N,beta,beta_C,339,0,0.0,,,0,0,0.011799410029498525
N,beta,beta_D,188,45,0.7826699074465632,0.7866297404765602,0.9777777777777777,49,1,0.14361702127659576
N,beta,beta_E,306,21,0.7119044176127591,0.7195370904156586,1.0,23,0,0.026143790849673203
N,beta,beta_F,286,164,0.912458166815061,0.9237836083763884,1.0,37,0,0.03496503496503497
N,beta,beta_G,283,85,0.7916592266092544,0.7992191744342986,0.9764705882352941,31,2,0.01060070671378092
N,beta,beta_H,335,4,0.33539082609697407,0.390011080825912,0.75,3,1,0.011940298507462687
