method,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m9,alpha,alpha_I,1042,148,1199.690992,1497.1968235,0.7708967353965451,0.7841279840919996,0.9699248120300752,0.8716216216216216,0.9181494661921707,129,4,19,0.1276391554702495,0.8512476007677543,0.02111324376199616,148,0.8716216216216216,0.08783783783783784,1,0.7525817555938038,0.9362955032119914,0.8344465648854962,1749,575,119,0.6203863421794183,1.9147286821705427,1.744186046511628,323.2028965,133,-2.108656406015038,-280.45130200000006,148,-1.6395225202702703
m9,alpha,alpha_J,1055,387,1542.0867715000002,1783.4414199999999,0.8001518754502738,0.8288292423981046,0.9647058823529412,0.8475452196382429,0.9023383768913342,328,12,59,0.3222748815165877,0.6322274881516587,0.04549763033175355,387,0.8475452196382429,0.09560723514211886,1,0.8070948782535684,0.8958527493010252,0.849160777385159,3845,919,447,0.6189519974009432,1.3932926829268293,1.5914634146341464,305.27301900000003,340,-1.1304900029411766,-384.36660100000006,387,-0.8996256770025839
m9,beta,beta_A,337,26,754.99691,738.3118354999999,0.95574060191616,0.9884132583433306,1.0,0.9230769230769231,0.9600000000000001,24,0,2,0.0712166172106825,0.8931750741839762,0.03560830860534125,26,0.9230769230769231,0.038461538461538464,1,0.9311111111111111,0.918859649122807,0.924944812362031,419,31,37,0.8336527254796486,1.0833333333333333,0.7083333333333334,8.554628499999996,24,-4.7051115,-112.922676,26,-4.531903038461539
m9,beta,beta_B,231,125,4769.1721835,4703.460493499999,0.8890926088713529,0.9478660044367611,1.0,0.864,0.9270386266094421,108,0,17,0.4675324675324675,0.48484848484848486,0.047619047619047616,125,0.864,0.056,1,0.908357771260997,0.9017467248908297,0.9050401753104456,2478,250,270,0.7734518921389306,1.4166666666666667,1.2962962962962963,245.21018850000002,108,-6.274306740740741,-677.625128,125,-6.036133711999999
m9,beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9941002949852508,0.0058997050147492625,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m9,beta,beta_D,188,45,475.14381699999996,457.7570065,0.9015861980944988,0.9662549108355374,0.9714285714285714,0.7555555555555555,0.85,34,1,11,0.18617021276595744,0.6542553191489362,0.1595744680851064,45,0.7555555555555555,0.17777777777777778,1,0.6209987195902689,0.8420138888888888,0.7148120854826824,485,296,91,0.5167234866579067,3.3823529411764706,4.676470588235294,15.447051000000009,35,-2.6069874857142854,-91.24456199999999,45,-2.4036925555555553
m9,beta,beta_E,306,21,87.1145895,94.1866935,0.899125056861397,0.9113346090655575,0.9545454545454546,1.0,0.9767441860465117,21,1,0,0.0718954248366013,0.8986928104575164,0.029411764705882353,21,1.0,0.0,1,0.8535825545171339,0.9716312056737588,0.9087893864013267,274,47,8,0.8623621750667306,1.2380952380952381,0.8571428571428571,8.351099999999999,22,-1.0918167272727273,-24.019968000000002,21,-1.1108819047619047
m9,beta,beta_F,286,164,1578.0256439999998,1625.6070789999999,0.930078607694169,0.9496679852364251,0.9457831325301205,0.9573170731707317,0.9515151515151515,157,9,7,0.5804195804195804,0.36363636363636365,0.055944055944055944,164,0.9573170731707317,0.03048780487804878,1,0.906896551724138,0.9476164079822617,0.9268094334507997,3419,351,189,0.8804741374693238,0.802547770700637,1.070063694267516,81.82007949999999,166,-1.4391930060240965,-238.90603900000002,164,-1.4188688658536586
m9,beta,beta_G,283,85,2201.5129779999997,2347.6825685,0.8700366556153777,0.9015351431655869,0.8837209302325582,0.8941176470588236,0.888888888888889,76,10,9,0.303886925795053,0.6395759717314488,0.05653710247349823,85,0.8941176470588236,0.047058823529411764,1,0.8762287756925826,0.9293838862559242,0.9020239190432383,1961,277,149,0.864576924135253,0.6578947368421053,0.19736842105263158,231.16422799999998,86,-3.873380511627907,-333.110724,85,-3.742378576470588
m9,beta,beta_H,335,4,30.179627500000002,6.657839999999999,0.17344536429581756,0.8178171899595065,1.0,0.25,0.4,1,0,3,0.0029850746268656717,0.9880597014925373,0.008955223880597015,4,0.25,0.0,1,0.8235294117647058,0.2222222222222222,0.35000000000000003,14,3,49,0.20588235294117646,3.0,0.0,1.2129439999999994,1,-1.6671369999999999,-1.6671369999999999,4,-1.88848475
