regime,variant,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score,beta_all_pooled_precision,beta_all_pooled_recall,beta_all_pooled_f1,beta_all_site_avg_precision,beta_all_site_avg_recall,beta_all_site_avg_f1,beta_all_positive_site_avg_precision,beta_all_positive_site_avg_recall,beta_all_positive_site_avg_f1,beta_sure_pooled_precision,beta_sure_pooled_recall,beta_sure_pooled_f1,beta_sure_site_avg_precision,beta_sure_site_avg_recall,beta_sure_site_avg_f1,beta_sure_positive_site_avg_precision,beta_sure_positive_site_avg_recall,beta_sure_positive_site_avg_f1
R2_beta_loso_plus_alpha,G_b1p5_r1p5_sc0p5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6573099415204678,0.886435331230284,0.7548690396239087,0.545979643361143,0.727002502002502,0.594584679085505,0.545979643361143,0.727002502002502,0.594584679085505,0.7740303541315345,0.9522821576763485,0.853953488372093,0.6522076859078113,0.7461972737476443,0.6472269734674144,0.7453802124660701,0.8527968842830221,0.7396879696770451
R2_beta_loso_plus_alpha,G_b1p5_r1p5_sc0p0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6345514950166113,0.9037854889589906,0.745608327911516,0.5365074341998044,0.7380946910358674,0.5906565000699653,0.5365074341998044,0.7380946910358674,0.5906565000699653,0.7618270799347472,0.9688796680497925,0.8529680365296805,0.6450494309972439,0.7568685087770892,0.6466762999725562,0.7371993497111359,0.8649925814595305,0.7390586285400642
R1_beta_loso,G_b1p5_r2p0_sc0p5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.696969696969697,0.8343848580441641,0.7595118449389806,0.5920688535883541,0.6852013943925709,0.592701580628364,0.5920688535883541,0.6852013943925709,0.592701580628364,0.8033088235294118,0.9066390041493776,0.8518518518518519,0.5546120289441838,0.6935963258881855,0.6035966032203794,0.6338423187933528,0.7926815153007835,0.6898246893947194
R2_beta_loso_plus_alpha,G_b1p5_r2p0_sc0p0,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6307692307692307,0.9053627760252366,0.7435233160621761,0.5447101422052433,0.7320604100015864,0.5815346047232345,0.5447101422052433,0.7320604100015864,0.5815346047232345,0.7601957585644372,0.966804979253112,0.8511415525114155,0.520781036147788,0.7256185087770892,0.5973575942017204,0.5951783270260435,0.8292782957452448,0.6826943933733948
R2_beta_loso_plus_alpha,G_b1p5_r2p0_sc0p5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.649365628604383,0.88801261829653,0.7501665556295802,0.5414791794341365,0.7286258786258786,0.5911167459619571,0.5414791794341365,0.7286258786258786,0.5911167459619571,0.7666666666666667,0.9543568464730291,0.8502772643253235,0.6464294503881061,0.7486972737476443,0.6435859207771749,0.7387765147292641,0.8556540271401649,0.7355267666024856
R1_beta_loso,G_b2p0_r1p0_sc1p0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.780448717948718,0.7681388012618297,0.7742448330683626,0.65495083042528,0.6452988894165365,0.6083064639137521,0.65495083042528,0.6452988894165365,0.6083064639137521,0.8532494758909853,0.8443983402489627,0.8488008342022941,0.6163960026346758,0.6621668017600741,0.6191096093887637,0.7044525744396294,0.7567620591543703,0.7075538393014442
R1_beta_loso,G_b2p0_r1p5_sc1p0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7737909516380655,0.7823343848580442,0.7780392156862744,0.6464144162833265,0.6527306424365248,0.6074053499109866,0.6464144162833265,0.6527306424365248,0.6074053499109866,0.8425357873210634,0.8547717842323651,0.8486096807415037,0.6021790521225763,0.6663674485542248,0.6133978771715571,0.68820463099723,0.7615627983476855,0.7010261453389225
R2_beta_loso_plus_alpha,G_b2p0_r2p0_sc1p0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6369710467706013,0.9022082018927445,0.7467362924281985,0.5105720808790888,0.7523310199780788,0.5896694796645249,0.5105720808790888,0.7523310199780788,0.5896694796645249,0.7544715447154472,0.9626556016597511,0.845943482224248,0.5564635620341762,0.7614407849754075,0.626472896029324,0.635958356610487,0.8702180399718943,0.7159690240335131
R2_beta_loso_plus_alpha,G_b1p5_r1p0_sc0p0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6507009345794392,0.8785488958990536,0.7476510067114094,0.5497338128611887,0.7246403658168363,0.5939669778278761,0.5497338128611887,0.7246403658168363,0.5939669778278761,0.765993265993266,0.9439834024896265,0.845724907063197,0.6544349979982328,0.7455378938539545,0.6479679513369798,0.7479257119979802,0.8520433072616623,0.7405348015279769
R1_beta_loso,G_b1p5_r2p0_sc1p0,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7002652519893899,0.832807570977918,0.7608069164265131,0.5851266899826115,0.692062007503184,0.59015374695219,0.5851266899826115,0.692062007503184,0.59015374695219,0.7941176470588235,0.8962655601659751,0.8421052631578948,0.5402626450407958,0.6884938126606723,0.5902570846753004,0.6174430229037666,0.786850071612197,0.6745795253432005
R1_beta_loso,G_b1p5_r1p5_sc1p0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7121418826739427,0.8233438485804416,0.7637161667885881,0.592678169044626,0.6831453081453082,0.5926990583342139,0.592678169044626,0.6831453081453082,0.5926990583342139,0.801125703564728,0.8858921161825726,0.8413793103448276,0.5471911429050135,0.6801673795064833,0.5922237544013645,0.6253613061771582,0.7773341480074095,0.6768271478872737
R2_beta_loso_plus_alpha,G_b2p0_r2p0_sc0p0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6045548654244306,0.9211356466876972,0.73,0.5295951439153874,0.7499826529238294,0.5706624452025184,0.5295951439153874,0.7499826529238294,0.5706624452025184,0.7363494539781591,0.979253112033195,0.8406055209260909,0.5034199530222547,0.7420924038906902,0.5865363544288674,0.5753370891682911,0.8481056044465031,0.67032726220442
R2_beta_loso_plus_alpha,G_b2p0_r1p5_sc1p0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6170212765957447,0.9148264984227129,0.7369758576874206,0.5677517730820676,0.7769045298457062,0.6058322156625604,0.5677517730820676,0.7769045298457062,0.6058322156625604,0.740506329113924,0.970954356846473,0.8402154398563734,0.5681677280772839,0.7976456251792056,0.6471685487910739,0.6493345463740388,0.9115950002048063,0.7396211986183703
R2_beta_loso_plus_alpha,G_b2p0_r1p0_sc1p0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6235167206040992,0.9116719242902208,0.7405509288917361,0.5701212529484806,0.774605477546654,0.6077903420272903,0.5701212529484806,0.774605477546654,0.6077903420272903,0.7412698412698413,0.9688796680497925,0.8399280575539567,0.5680647494682283,0.7951456251792055,0.6467630812421294,0.6492168565351181,0.9087378573476634,0.7391578071338623
R2_beta_loso_plus_alpha,G_b2p0_r1p0_sc0p5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6070320579110652,0.9258675078864353,0.7332916926920676,0.56551445195456,0.7914177193588958,0.6096816679019739,0.56551445195456,0.7914177193588958,0.6096816679019739,0.734789391575663,0.9771784232365145,0.8388245770258236,0.5639617279486682,0.8006043086525949,0.6454418274925584,0.6445276890841922,0.9149763527458228,0.7376478028486382
