regime,variant,substation_id,date,confidence,day_group,true_day,pred_day,score,threshold,confidence_score,true_start_time,true_end_time,pred_start_time,pred_end_time,v03_selected_duration_h
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-03-17,sure,FP_day,False,True,3.8462818201792177,3.690327091222695,0.15595472895652263,,,11:30,12:00,0.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-03-18,sure,FP_day,False,True,4.233113197374589,3.690327091222695,0.5427861061518939,,,14:30,15:15,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-04-21,sure,FP_day,False,True,4.353544426739303,3.690327091222695,0.6632173355166078,,,12:15,14:00,2.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-05-03,sure,FP_day,False,True,3.9511686818613465,3.690327091222695,0.2608415906386514,,,10:00,12:30,2.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-06-05,sure,FP_day,False,True,4.149370679405042,3.690327091222695,0.4590435881823467,,,11:15,12:15,1.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-06-08,sure,FP_day,False,True,3.9044624783237705,3.690327091222695,0.21413538710107538,,,11:45,13:00,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-07-18,sure,FP_day,False,True,4.507011893072066,3.690327091222695,0.8166848018493713,,,10:45,12:30,2.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-08-02,sure,FP_day,False,True,4.43961786764173,3.690327091222695,0.7492907764190351,,,11:45,13:45,2.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-08-17,sure,FP_day,False,True,3.9906248348449997,3.690327091222695,0.30029774362230466,,,10:15,15:00,5.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-10-18,sure,FP_day,False,True,3.979110051969078,3.68627357302582,0.2928364789432578,,,12:30,16:30,4.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-11-06,sure,FP_day,False,True,4.179635808121054,3.68627357302582,0.4933622350952338,,,10:45,13:30,3.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-11-09,sure,FP_day,False,True,4.1710430691740905,3.68627357302582,0.4847694961482705,,,12:15,14:15,2.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-11-17,sure,FP_day,False,True,4.174077910867615,3.68627357302582,0.48780433784179467,,,13:30,16:45,3.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-12-02,sure,FP_day,False,True,3.6881579509563065,3.68627357302582,0.0018843779304864583,,,11:45,12:30,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-03-22,sure,FP_day,False,True,4.711183993095264,3.68627357302582,1.0249104200694439,,,13:15,16:30,3.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-04-08,sure,FP_day,False,True,4.182057868963523,3.68627357302582,0.4957842959377028,,,09:30,15:15,6.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-04-10,sure,FP_day,False,True,4.140985709420099,3.68627357302582,0.4547121363942792,,,09:15,15:30,6.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-05-19,sure,FP_day,False,True,4.1413779046514945,3.68627357302582,0.45510433162567443,,,11:30,14:30,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-18,sure,FP_day,False,True,3.9906871760721505,3.68627357302582,0.30441360304633047,,,10:15,13:15,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-19,sure,FP_day,False,True,3.9412355153457823,3.68627357302582,0.2549619423199623,,,09:15,15:15,6.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-21,sure,FP_day,False,True,4.215958512785833,3.68627357302582,0.529684939760013,,,09:45,14:45,5.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-22,sure,FP_day,False,True,4.451127089124437,3.68627357302582,0.7648535160986172,,,11:00,15:15,4.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-23,sure,FP_day,False,True,4.241342297705076,3.68627357302582,0.555068724679256,,,09:30,15:30,6.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-08-24,sure,FP_day,False,True,4.704266697891578,3.68627357302582,1.0179931248657579,,,12:45,15:30,3.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-09-12,sure,FP_day,False,True,4.196901570155919,3.68627357302582,0.5106279971300993,,,10:00,13:45,4.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-09-13,sure,FP_day,False,True,3.741265246767917,3.68627357302582,0.054991673742097014,,,08:45,15:45,7.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_H,2023-11-09,sure,FP_day,False,True,3.69829852830305,3.690327091222695,0.00797143708035497,,,11:45,13:45,2.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_H,2024-09-22,sure,FP_day,False,True,3.7425381222232605,3.690327091222695,0.052211031000565455,,,09:45,14:00,4.5
