c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,cohort
0.925,0.07499999999999996,2288,470,0.8627622377622378,314,0.13723776223776224,0.5,303,2,12,301,0.9933993399339934,0.6404255319148936,0.778783958602846,0.9680170540166465,0.7613373732527524,0.3192744755244755,1.9156468531468531,50.12609265734266,0.9670760978109875,9.975942363270796,beta
0.93,0.06999999999999995,2288,470,0.8570804195804196,327,0.14291958041958042,0.5107033639143731,294,2,11,292,0.9931972789115646,0.6212765957446809,0.7643979057591623,0.9698005198236601,0.7497988977210124,0.3192744755244755,1.7560096153846154,52.20137674825175,0.9682770381400501,9.326550786825292,beta
0.935,0.06499999999999995,2288,470,0.8509615384615384,341,0.14903846153846154,0.5278592375366569,282,2,10,280,0.9929078014184397,0.5957446808510638,0.7446808510638298,0.9698609521601671,0.7312545272003714,0.3192744755244755,1.5963723776223777,54.43629807692308,0.9697749195202641,8.52347269528552,beta
0.94,0.06000000000000005,2288,470,0.840034965034965,366,0.15996503496503497,0.546448087431694,262,2,10,260,0.9923664122137404,0.5531914893617021,0.7103825136612023,0.9725742401716998,0.6920912209262831,0.3192744755244755,1.5963723776223777,58.42722902097902,0.9722539849490441,7.269455943350441,beta
0.945,0.05500000000000005,2288,470,0.8334790209790209,381,0.166520979020979,0.5564304461942258,249,1,10,248,0.9959839357429718,0.5276595744680851,0.6898470097357441,0.9756217367577775,0.675124448000554,0.15963723776223776,1.5963723776223777,60.82178758741259,0.973798047378743,6.524286202693005,beta
0.95,0.050000000000000044,2288,470,0.8256118881118881,399,0.1743881118881119,0.5614035087719298,237,0,9,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,1.4367351398601398,63.69525786713287,0.975131858964423,5.893749425431704,beta
0.955,0.04500000000000004,2288,470,0.8133741258741258,427,0.1866258741258741,0.5761124121779859,215,0,9,215,1.0,0.4574468085106383,0.6277372262773723,0.9822621942388398,0.6078754046702903,0.0,1.4367351398601398,68.16510052447552,0.9774877824557939,4.840126772004322,beta
0.96,0.040000000000000036,2288,470,0.8041958041958042,448,0.1958041958041958,0.5825892857142857,201,0,8,201,1.0,0.4276595744680851,0.5991058122205664,0.9822803618726366,0.5763177258263641,0.0,1.277097902097902,71.51748251748252,0.978926884839918,4.23569614717649,beta
0.965,0.03500000000000003,2288,470,0.7950174825174825,469,0.20498251748251747,0.5927505330490405,184,0,8,184,1.0,0.39148936170212767,0.5626911314984709,0.9833464969897953,0.5386974876021792,0.0,1.277097902097902,74.8698645104895,0.9804635645934815,3.5947041147994145,beta
0.97,0.030000000000000027,2288,470,0.7810314685314685,501,0.21896853146853146,0.6007984031936128,162,0,7,162,1.0,0.3446808510638298,0.5126582278481013,0.9857488265942527,0.47471444170157195,0.0,1.1174606643356644,79.97825611888112,0.9822647962349904,2.8731030099315458,beta
